"Original Name","Normalized Name"
"Pattamandiri",
"Pattikulam Colony",
"Pattunool Chatram",
"Pattur",
"Paventher Salai",
"Payyanoor",
"Pazavanthangal Road Jn.",
"Pazhanthandalam",
"Pazhanthandalam Road Jn.",
"Pazhaverkadu",
"Peavallur Kumaran Nagar",
"Pennalur E.B.",
"Perambakkam",
"Perambur B.S","Perambur Bus Stand"
"Perambur Market",
"Perambur R.S","Perambur Railway Station"
"Periamullaivoyal",
"Periya Kottamedu",
"Periyal Nembili Village",
"Periyapalayam",
"Periyapalayam Rd Jn.",
"Periyapalayam Temple",
"Periyapanicheri",
"Periyar Bridge",
"Periyar Nagar",
"Perliyambakkam",
"Perumal Koil",
"Perumal Nagar Jn.",
"Perumalpattu",
"Perumathunallur",
"Perumbakkam Colony(Indran",
"Perumbakkam Limit",
"Perumbur",
"Perungalathur (Old)",
"Perungavoor",
"Perungulathur",
"Perunthandalam",
"Peruvoyal",
"Picture Post",
"Pillaipakkam",
"Pillaipakkam Koot Road",
"Pogalmedu",
"Police Quarters",
"Polivakkam",
"Pollachiammankulam",
"Polytechnic",
"Pondy Bazaar",
"Ponmar",
"Ponneri",
"Ponniamman Koil Rd. Jn.",
"Poochiathibedu",
"Poombuhar",
"Poonamallee",
"Poonchery Koot Road",
"Poondi",
"Poondi Koot Road (Neyveli",
"Poongeri Jn.",
"Poonthandalam",
"Poonthandalam Rd.Jn.",
"Poovalambedu",
"Poovalli Kuppam",
"P.Or & Sons",
"Porur",
"Postal Audit Office",
"Pothur",
"Pozhal",
"Pozhal Camp",
"Pozhichalur",
"Prithiyangara Devi Temple",
"Priyan Kuppam",
"Ptc Quarter / Eswarantemp",
"Pudukuppam",
"Pudupakkam",
"Pudupeir Coot Road",
"Pudur",
"Pudur High School",
"Puduvoyal",
"Pulicut Panchayat Limit",
"Pulikulam",
"Pulipakkam",
"Puliyur",
"Puliyur Kandigai",
"Pullarambakkam",
"Pushpagiri",
"Pushpagiri Rd. Jn.",
"Pushpa Nagar",
"Puthuchathiram",
"Puzhithivakkam B.S","Puzhithivakkam Bus Stand"
"Q.M.Arts College",
"Q.M Arts (Men)",
"Q.M.C",
"Rajapalayam",
"Ramachandra Medl.College",
"Ramapuram",
"Ramapuram (L.N.P Koil)",
"Ramasamy Nagar",
"Rangarajapuram",
"Red Hills",
"Regal",
"Rettambedu",
"Royapetta Hospital",
"Royapuram",
"Royapuram P.S",
"R.R.Kandigai",
"Sadanandapuram",
"Sadurangapettai",
"Saidapet",
"Saidapet West",
"Sakthi Nagar",
"Sakthi Vinayagar Koil",
"Salamangalam Koot Road",
"Salavankuppam/Devanori",
"Saligraman",
"Salt Office",
"Samiyar Pannai",
"Santhome P.O",
"Sarapanchery",
"Sarma Nagar",
"Sathankuppam",
"Sathiyamoorthy Nagar",
"Sathiyavedu Koot Road",
"Sayani/Aynavaram",
"Screw Factory",
"Sculpture Arts College",
"Secretariat",
"Secretariat Colony",
"Semilivaram",
"Semmancheri Kuppam",
"Semmanchery",
"Semmanchery S.C.B.",
"Senkadu",
"Senneerkuppam",
"Senthil Nagar",
"Settimedu",
"Shanthi/Dams Rd.",
"S.H.B",
"Shivashanmugapuram",
"Sholavaram",
"Sholavaram P.S.",
"Sidco",
"Sidco Nagar",
"Sikkaravaram",
"Sikkarayapuram",
"Sipcot",
"Sirucheri",
"Sirukalathur",
"Sirukundram Koot Road",
"Siruniam Rd.Jn.",
"S.I.V.E.T",
"Slum Clearance Board",
"Somangalam",
"Somangalam Rd /Amarambedu",
"Somangalam Rd Jn/N.V.R.D.",
"Sonalur / Pudur",
"Sothupermedu",
"South Boag & S.East Boag",
"Sowbakkiya Nagar",
"Sozhinganallur P.U.Office",
"Sozhipalayam",
"S.P.Koil",
"Srinivasa Nagar",
"Srinivasa Theater",
"Sriperumpudur",
"Sri Ram Engg.College",
"Sri Sankara Health Centre",
"Sriungavoor",
"S.R.P. Colony",
"Srp Tools",
"Stephen Church",
"Sterling Rd/Meteorology D",
